Romanian,C,a,830
Romanian,C,b,120
Romanian,C,c,450
Romanian,C,d,370
Romanian,C,e,1050
Romanian,C,f,120
Romanian,C,g,110
Romanian,C,h,100
Romanian,C,i,820
Romanian,C,j,30
Romanian,C,k,5
Romanian,C,l,410
Romanian,C,m,310
Romanian,C,n,650
Romanian,C,o,450
Romanian,C,p,290
Romanian,C,q,5
Romanian,C,r,620
Romanian,C,s,430
Romanian,C,t,640
Romanian,C,u,520
Romanian,C,v,150
Romanian,C,w,5
Romanian,C,x,10
Romanian,C,y,5
Romanian,C,z,80
Romanian,C,ă,300
Romanian,C,â,95
Romanian,C,î,100
Romanian,C,ș,140
Romanian,C,ț,110
Romanian,B,de,258
Romanian,B,re,224
Romanian,B,în,195
Romanian,B,ar,182
Romanian,B,te,175
Romanian,B,at,170
Romanian,B,ul,168
Romanian,D,ă,0
Romanian,D,â,0
Romanian,D,î,0
Romanian,D,ș,0
Romanian,D,ț,0
English,C,a,817
English,C,b,149
English,C,c,278
English,C,d,425
English,C,e,1268
English,C,f,223
English,C,g,202
English,C,h,609
English,C,i,697
English,C,j,15
English,C,k,77
English,C,l,403
English,C,m,241
English,C,n,675
English,C,o,751
English,C,p,193
English,C,q,10
English,C,r,599
English,C,s,633
English,C,t,906
English,C,u,276
English,C,v,98
English,C,w,236
English,C,x,15
English,C,y,197
English,C,z,7
English,B,th,356
English,B,he,307
English,B,in,243
English,B,er,205
English,B,an,199
English,B,re,185
English,B,on,176
German,C,a,652
German,C,b,189
German,C,c,273
German,C,d,508
German,C,e,1639
German,C,f,166
German,C,g,301
German,C,h,458
German,C,i,655
German,C,j,27
German,C,k,142
German,C,l,344
German,C,m,253
German,C,n,978
German,C,o,259
German,C,p,67
German,C,q,2
German,C,r,700
German,C,s,727
German,C,t,615
German,C,u,435
German,C,v,67
German,C,w,189
German,C,x,3
German,C,y,4
German,C,z,113
German,C,ä,57
German,C,ö,24
German,C,ü,59
German,C,ß,94
German,B,er,380
German,B,en,353
German,B,ch,242
German,B,de,205
German,B,nd,195
German,B,ei,188
German,B,ie,175
German,D,ä,0
German,D,ö,0
German,D,ü,0
German,D,ß,0
Hungarian,C,a,794
Hungarian,C,b,181
Hungarian,C,c,65
Hungarian,C,d,192
Hungarian,C,e,1160
Hungarian,C,f,55
Hungarian,C,g,379
Hungarian,C,h,126
Hungarian,C,i,425
Hungarian,C,j,148
Hungarian,C,k,485
Hungarian,C,l,671
Hungarian,C,m,382
Hungarian,C,n,560
Hungarian,C,o,351
Hungarian,C,p,112
Hungarian,C,q,2
Hungarian,C,r,409
Hungarian,C,s,562
Hungarian,C,t,738
Hungarian,C,u,123
Hungarian,C,v,248
Hungarian,C,w,5
Hungarian,C,x,3
Hungarian,C,y,151
Hungarian,C,z,323
Hungarian,C,á,304
Hungarian,C,é,45
Hungarian,C,í,35
Hungarian,C,ó,30
Hungarian,C,ö,25
Hungarian,C,ő,15
Hungarian,C,ú,20
Hungarian,C,ü,15
Hungarian,C,ű,10
Hungarian,B,en,215
Hungarian,B,ak,180
Hungarian,B,el,176
Hungarian,B,te,164
Hungarian,B,ek,153
Hungarian,B,az,149
Hungarian,B,er,142
Hungarian,D,á,0
Hungarian,D,é,0
Hungarian,D,í,0
Hungarian,D,ó,0
Hungarian,D,ö,0
Hungarian,D,ő,0
Hungarian,D,ú,0
Hungarian,D,ü,0
Hungarian,D,ű,0
Turkish,C,a,1192
Turkish,C,b,284
Turkish,C,c,96
Turkish,C,d,471
Turkish,C,e,891
Turkish,C,f,46
Turkish,C,g,125
Turkish,C,h,121
Turkish,C,i,860
Turkish,C,j,3
Turkish,C,k,468
Turkish,C,l,592
Turkish,C,m,375
Turkish,C,n,749
Turkish,C,o,241
Turkish,C,p,54
Turkish,C,q,1
Turkish,C,r,724
Turkish,C,s,263
Turkish,C,t,301
Turkish,C,u,222
Turkish,C,v,125
Turkish,C,w,5
Turkish,C,x,1
Turkish,C,y,284
Turkish,C,z,105
Turkish,C,ç,115
Turkish,C,ğ,112
Turkish,C,ı,512
Turkish,C,ö,48
Turkish,C,ş,178
Turkish,C,ü,185
Turkish,B,ar,325
Turkish,B,in,284
Turkish,B,la,276
Turkish,B,an,263
Turkish,B,er,251
Turkish,B,da,239
Turkish,B,le,227
Turkish,D,ç,0
Turkish,D,ğ,0
Turkish,D,ı,0
Turkish,D,ö,0
Turkish,D,ş,0
Turkish,D,ü,0
Dutch,C,a,749
Dutch,C,b,158
Dutch,C,c,124
Dutch,C,d,593
Dutch,C,e,1891
Dutch,C,f,81
Dutch,C,g,313
Dutch,C,h,238
Dutch,C,i,650
Dutch,C,j,146
Dutch,C,k,225
Dutch,C,l,357
Dutch,C,m,221
Dutch,C,n,1003
Dutch,C,o,606
Dutch,C,p,157
Dutch,C,q,1
Dutch,C,r,641
Dutch,C,s,373
Dutch,C,t,679
Dutch,C,u,199
Dutch,C,v,285
Dutch,C,w,152
Dutch,C,x,4
Dutch,C,y,3
Dutch,C,z,139
Dutch,C,ë,6
Dutch,C,é,4
Dutch,C,ï,2
Dutch,B,en,412
Dutch,B,er,285
Dutch,B,de,254
Dutch,B,te,210
Dutch,B,in,196
Dutch,B,an,178
Dutch,B,et,163
Dutch,D,ë,0
Dutch,D,é,0
Dutch,D,ï,0